label,text,label_id
request,can i get their address,3
request,and what kind of food do they have,3
thankyou,thank you good bye,4
null,unintelligible,5
null,unintelligible,5
inform,im looking for an expensive restaurant and it should serve tuscan food,0
inform,any,0
inform,any,0
inform,i dont care,0
inform,can i get tuscan foo,0
null,sil,5
inform,i dont care,0
inform,im looking for tuscan food,0
inform,tuscan food,0
negate,no,8
inform,i dont care,0
negate,no dont care,8
inform,dont care,0
inform,tuscan food,0
inform,how bout thai,0
inform,that food,0
request,can i get the address,3
request,phone number,3
request,phone number,3
thankyou,thank you goodbye,4
inform,i want a restaurant in the unintelligible that serves belgium food,0
reqalts,how about korean food,7
inform,korean,0
confirm,is it in the center,1
request,what is the address,3
request,what is the phone number,3
bye,good bye,6
inform,im looking for a cheap restaurant in the west part of,0
inform,doesnt matter,0
request,phone number,3
thankyou,thank you good bye,4
inform,restaurant,0
inform,center,0
inform,spanish food,0
inform,cheap,0
reqalts,anything else,7
request,address,3
request,phone number,3
thankyou,thank you good bye,4
inform,im moderate priced restaurant in the north part of town,0
inform,any,0
reqalts,anything else,7
request,address and phone number,3
bye,good bye,6
inform,portuguese food,0
inform,portuguese food,0
affirm,yes,2
reqalts,is there anything else,7
reqalts,anything else,7
request,phone number,3
request,area,3
request,phone number,3
thankyou,thank you good bye,4
inform,i want an expensive restaurant in the east part of town,0
inform,it doesnt matter,0
null,um what,5
request,and what type of whats the phone number,3
request,and what type of food does it serve,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the north,0
inform,any kind of food,0
request,may i have the address please,3
thankyou,thank you good bye,4
inform,breath id like to find a moderately priced restaurant in the west part of,0
inform,i dont care,0
request,what is the address,3
request,what type of food,3
thankyou,thank you goodbye,4
inform,im looking for a moderately priced restaurant in the south,0
inform,i dont care,0
request,what is the phone number,3
request,what is the type of food,3
thankyou,thank you good bye,4
inform,im looking for an moderately restaurant and it should be in the south part of town,0
inform,any,0
request,whats the address,3
thankyou,thank you good bye,4
inform,danish food in the south part of town,0
request,may i have a phone number and postcode,3
request,may i have the postcode,3
thankyou,thank you goodbye,4
inform,im looking for a restaurant that serves european food,0
inform,i dont care,0
inform,i dont care,0
reqalts,is there anything else,7
request,whats the address phone number and area,3
request,and what area,3
thankyou,thank you good bye,4
null,sil,5
null,sil,5
null,sil,5
inform,cheap restaurant north part of town,0
inform,cheap,0
null,sil,5
null,sil,5
null,sil,5
thankyou,thank you,4
thankyou,thank you,4
bye,bye,6
thankyou,thank you bye thank you bye,4
inform,um want to find a moderately priced restaurant in the,0
inform,any type is fine,0
request,what is the phone number and address,3
request,what is the address,3
thankyou,thank you good bye,4
inform,im looking for a restaurant that serves world food,0
reqalts,how about thai food,7
inform,i dont care about the price range what about thai food,0
inform,thai food,0
inform,i dont care,0
request,what is the address,3
request,what is the phone number,3
thankyou,thank you good bye,4
reqalts,is there anything serving international food,7
inform,the south part,0
reqalts,how about in the center,7
request,where is it located,3
request,what part of town is it located,3
request,whats its price range,3
request,could i have its phone number,3
thankyou,thank you very much good bye,4
inform,im looking for an expensive restaurant in the south part of town,0
inform,i dont care,0
reqalts,is there anything else,7
request,can i have the phone number,3
request,address,3
request,post code,3
thankyou,thank you good bye,4
inform,im looking for vegetarian food on the east part of town,0
reqalts,what about indian food,7
reqalts,what about indian food,7
inform,im looking for indian food,0
inform,it doesnt matter,0
affirm,right,2
request,whats the address,3
request,and the phone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the south part of town,0
inform,moderately priced,0
inform,doesnt matter,0
affirm,yes,2
reqalts,is there anything else,7
request,address,3
request,phone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the center,0
inform,creative food,0
inform,what about international type food,0
reqalts,um how about a restaurant in the center with int,7
inform,international food,0
reqalts,anything else,7
request,the phone number,3
request,the phone number for bloomsbury,3
request,and the price range,3
thankyou,thank you good bye,4
inform,looking for a restaurant in west part of town serving cantonese,0
affirm,yes,2
inform,italian food,0
inform,moderate,0
request,phone number,3
request,what is the phone number,3
thankyou,thank you good bye,4
inform,i want a polynesian restaurant in the north part of town,0
affirm,yes,2
reqalts,how about indian food,7
request,can i have their address please,3
request,and the phone number,3
request,whats the price range,3
thankyou,thank you good bye,4
null,can i have an,5
inform,restaurant serving english food,0
inform,uh what about modern european,0
inform,what about modern european food,0
reqalts,okay what about modern european food,7
affirm,right,2
request,can i have the phone number,3
thankyou,thank you good bye,4
hello,hi im looking for a restaurant in the,9
inform,north,0
inform,christmas food,0
reqalts,how about asian oriental type of food,7
reqalts,is there a restaurant,7
inform,im looking for a restaurant,0
inform,in the north part of town,0
inform,asian oriental,0
request,what is the address,3
request,what is the phone number,3
thankyou,thank you good bye,4
inform,im looking for an expensive restaurant that serves european,0
inform,any part of town,0
request,phone number,3
request,what is the phone number,3
request,and the area,3
thankyou,thank you good bye,4
affirm,uh yes i want to find a restaurant in the north part of town that serves,2
inform,uh the north,0
inform,mediterranean food,0
reqalts,okay how about any area,7
reqalts,okay how about any part of town,7
request,okay and uh can i get the address,3
request,okay and whats the post code,3
request,okay and uh the phone number,3
bye,okay thank you and good bye,6
inform,im looking for a cheap restaurant in the south part of town,0
inform,any kind,0
request,the address,3
request,and the post code,3
thankyou,thank you good bye,4
inform,im looking for an expensive restaurant in the south part of town,0
inform,it doesnt matter,0
request,whats the address,3
request,whats the phone number,3
thankyou,thank you good bye,4
inform,looking for something moderately priced on the north side of town,0
affirm,yes,2
inform,i dont care,0
request,uh whats the address,3
request,what about the phone number,3
thankyou,thank you good bye,4
affirm,yes hi im looking for a restaurant in the north,2
inform,cantonese food,0
reqalts,how about asian oriental food,7
request,i want the address and ph,3
request,and the phone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the south part of town that,0
inform,mexican food,0
request,whats the address,3
request,the phone number,3
request,and the post code,3
thankyou,thank you good bye,4
inform,i want chinese food,0
affirm,yes in the south of town,2
inform,cheap,0
request,what is the phone number,3
null,unintelligible,5
thankyou,thank you good bye,4
inform,cheap restaurant,0
inform,i dont care,0
inform,and asian,0
inform,pan asian,0
request,may i have the address,3
thankyou,thank you good bye,4
inform,food,0
inform,any type,0
inform,any part,0
affirm,yes,2
inform,french,0
affirm,yes,2
request,address,3
request,price range,3
inform,so i dont care whats the address,0
request,what area of town is it,3
bye,alright thank you good bye,6
inform,south part of town,0
affirm,yes,2
inform,any expensive,0
affirm,yes expensive,2
request,address phone number post code,3
request,phone number,3
request,post code,3
thankyou,thank you good bye,4
inform,id like a restaurant in the north part of town that serves tur,0
inform,turkish,0
reqalts,how about in any area,7
reqalts,how about rest of town,7
request,could i have the area please,3
thankyou,thank you good bye,4
inform,im looking for a moderately priced restaurant in the south part of town,0
inform,i dont care,0
request,what type of food,3
request,whats the address,3
thankyou,thank you good bye,4
inform,south,0
inform,south,0
inform,south,0
affirm,yes,2
inform,basque food,0
inform,indian food,0
request,phone number,3
request,phone number,3
thankyou,thank you good bye,4
inform,restaurant in the north part of town that serves,0
inform,british food,0
reqalts,how about indian food,7
affirm,yes,2
null,um hm,5
inform,north,0
inform,dont care,0
request,address phone number and price range,3
request,address,3
request,phone number,3
request,price range,3
thankyou,thank you good bye,4
inform,south,0
inform,south,0
affirm,yes,2
inform,traditional,0
inform,italian,0
inform,italian,0
affirm,yes,2
inform,dont care,0
inform,dont care,0
request,phone number,3
request,phone number,3
request,post code,3
thankyou,thank you goodbye,4
inform,im looking for a moderately priced rest,0
inform,any part of town,0
inform,brazilian,0
reqalts,what about gastropub type of foo,7
reqalts,what about gasper gastropub type o,7
request,kay can i have the address phone number and the area,3
inform,was that in the east part of town west part of town,0
thankyou,thank you goodbye,4
inform,im looking for international food,0
inform,it doesnt matter,0
inform,i dont care about the price range,0
request,what is the address,3
thankyou,thank you good bye,4
inform,moderately priced in the west part of town,0
inform,any,0
request,what type of food,3
request,what is the address,3
thankyou,thank you good bye,4
inform,looking for a cheap restaurant serving portuguese food,0
inform,i dont care,0
request,whats the phone number,3
request,what area is it in,3
thankyou,thank you good bye,4
inform,north part of town serving canapes food,0
affirm,yes,2
inform,indian food,0
inform,i dont care,0
request,what is the address,3
request,what is the phone number,3
request,what is the price range,3
thankyou,thank you good bye,4
null,sil,5
inform,im looking for an expensive restaurant that serves basque food,0
affirm,yes,2
reqalts,how about korean food,7
inform,korean food,0
request,what is the address,3
request,and the area,3
thankyou,thank you good bye,4
inform,i want a restaurant in the north part of town that serves kosher,0
confirm,does it serve kosher food,1
request,what is the address,3
request,what is the phone number,3
request,what is the price range,3
thankyou,thank you good bye,4
inform,restaurant in the west part of town serving moroccan food,0
inform,moroccan,0
request,what type of food,3
reqalts,how about moroccan food,7
reqalts,how about moroccan food,7
reqalts,how about moroccan food,7
inform,moroccan food,0
reqalts,how about indian food,7
reqalts,how about indian food,7
request,what is the address and phone number,3
thankyou,thank you good bye,4
repeat,okay let me try this again,10
inform,im looking for a restaurant that serves romanian food,0
null,okay how about,5
inform,place that serves portuguese food,0
reqalts,how about a place that serves portuguese food,7
affirm,yes,2
request,whats the address to that please,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the south,0
inform,uh the south,0
inform,greek food,0
reqalts,how about chinese food,7
reqalts,what about chinese,7
affirm,yes,2
affirm,yes,2
inform,is doesnt matter,0
request,can i have the address,3
thankyou,thank you good bye,4
inform,can i have a cheap restaurant in the south part of town,0
inform,any kind of food,0
request,what is the address,3
thankyou,thank you good bye,4
inform,yea im looking for a restaurant that serves basque food,0
reqalts,what about indian,7
reqalts,how about indian food,7
affirm,correct,2
inform,the west,0
request,okay whats the phone number,3
request,whats the address,3
thankyou,thank you good bye,4
inform,can i get a restaurant in the east part of town that serves italian food,0
request,can i get the address,3
request,can i get the phone number,3
request,and the post code,3
thankyou,thank you good bye,4
inform,moderate restaurant seafood,0
affirm,yes,2
null,child,5
inform,chinese food,0
affirm,yes,2
request,phone number,3
request,phone number,3
thankyou,thank you good bye,4
null,sil,5
inform,east,0
inform,the east,0
inform,moderately priced,0
reqalts,is there anything else,7
request,what type of food,3
request,phone number,3
request,phone number,3
request,what is the phone number,3
thankyou,thank you good bye,4
inform,uh im looking for a cheap restaurant in the south part of town,0
inform,any type of food,0
reqalts,are there any other restaurants,7
request,can i get the address and phone number please,3
thankyou,thank you good bye,4
inform,im looking for restaurants in the east part of town,0
inform,east,0
inform,west,0
reqalts,how about chinese,7
inform,chinese,0
request,thank you can i have the address phone number,3
request,and the postal code,3
request,what about the address,3
request,can you give me the phone number,3
thankyou,thank you good bye,4
inform,i want to find an expensive restaurant that serves hungarian food,0
inform,i dont care,0
inform,hungarian,0
negate,no,8
inform,im looking for,0
inform,im looking for,0
confirm,does it serve hungarian food,1
inform,im looking for an expensive restaurant that serves hungarian,0
confirm,does it serve hungarian food,1
reqalts,how about british food,7
inform,i want to find an expensive restaurant that,0
inform,british food,0
request,what is the pri what is the telephone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the center,0
inform,mediterranean food,0
request,could i have the address and phone number,3
request,could i have the phone number,3
thankyou,thank you good bye,4
inform,moderate restaurant in the south part of town,0
inform,any,0
affirm,yes,2
request,uh price range,3
inform,i need a moderately priced restaurant,0
request,okay phone number,3
request,can i get the address,3
null,unintelligible,5
inform,can i get a moderate restaurant in the south part of town,0
inform,i dont care,0
request,can i get the phone number,3
thankyou,thank you goodbye,4
null,can i get,5
inform,i dont care,0
inform,vegetarian,0
reqalts,how about european,7
inform,i dont care,0
request,can i get the address,3
request,and the phone number,3
thankyou,thank you good bye,4
inform,cheap,0
inform,indian,0
request,address,3
request,address,3
request,phone number,3
thankyou,thank you good bye,4
inform,expensive restaurant,0
inform,anywhere,0
affirm,yes,2
inform,corsica,0
inform,asian oriental,0
inform,asian oriental,0
affirm,yes,2
request,phone number,3
request,what is the phone number,3
request,what is the area,3
thankyou,thank you goodbye,4
inform,im looking for a cheap restaurant serving kosher food,0
reqalts,what about chinese food,7
reqalts,how about chinese food,7
request,what is the address and phone number,3
thankyou,thank you goodbye,4
inform,i want to find a moderately priced restaurant and it should serve,0
inform,any,0
inform,turkish food,0
request,whats the address,3
request,and the post code,3
thankyou,thank you good bye,4
inform,id like a austrian restaurant in the south part of town,0
reqalts,how about indian food,7
reqalts,how about indian food,7
request,what is the phone number,3
thankyou,thank you good bye,4
inform,moderately priced,0
inform,south,0
affirm,yes,2
inform,any kind,0
request,phone number,3
request,address,3
bye,good bye,6
inform,can i find a restaurant in the south that is moderately priced,0
inform,any food,0
request,can i have the phone number,3
thankyou,thank you good bye,4
inform,im looking for a cheap restaurant in the west part of town,0
inform,mediterranean,0
inform,american,0
inform,italian,0
request,address,3
request,address,3
thankyou,thank you good bye,4
inform,indonesian food,0
inform,itailian,0
inform,italian,0
inform,north,0
negate,no,8
thankyou,thank you,4
thankyou,thank you,4
inform,i dont care,0
affirm,yes,2
negate,no,8
inform,dont care,0
inform,italian food,0
inform,dont care,0
thankyou,thank you,4
inform,i dont care,0
null,worthless system,5
affirm,yes,2
negate,no,8
inform,i do not care,0
inform,dont care,0
thankyou,thank you good bye,4
inform,moderately priced restaurant halal food,0
inform,doesnt matter,0
affirm,yes,2
inform,halal,0
repeat,again please,10
request,may i have the address and post code,3
repeat,again please,10
request,address,3
request,postal code,3
request,post code,3
thankyou,thank,4
repeat,again,10
repeat,repeat,10
null,re,5
request,address,3
repeat,repeat,10
request,address,3
request,address,3
null,fen ditton,5
request,post code,3
thankyou,thank,4
request,address,3
request,address,3
request,post code,3
thankyou,thank you good bye,4
thankyou,thank you good bye,4
inform,im looking for a restaurant in the north part of town that serves,0
inform,greek,0
reqalts,how about indians,7
request,could i have the address phone number and,3
request,whats the price range again,3
thankyou,thank you good bye,4
inform,looking for a moderately priced restaurant in the east part of town,0
inform,i dont care,0
request,whats the address,3
request,and the phone number,3
request,what type of food does it serve,3
thankyou,thank you,4
inform,im looking for a cheap restaurant in the north part of town,0
inform,any,0
request,kind i have the address,3
request,phone number,3
thankyou,thank you good bye,4
inform,im looking for a moderately priced restaurant,0
inform,the south part of town,0
request,what food is available in the south part of town,3
reqalts,what is there anything else,7
reqalts,is there anything else,7
request,okay may i get the address,3
thankyou,thank you good bye,4
inform,um im trying to find a restaurant in the unintelligible of town,0
inform,greek food,0
inform,uh indian,0
inform,doesnt matter,0
request,uh whats the address and the phone number,3
thankyou,thank you good bye,4
inform,african food,0
inform,any area,0
inform,african food,0
request,what is the address,3
thankyou,thank you good bye,4
inform,im looking for a moderately priced restaurant in the,0
inform,north,0
inform,i dont care,0
request,whats the phone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant that serves corsica food,0
inform,what about vietnamese,0
inform,vietnamese food,0
request,address,3
hello,hi,9
thankyou,thank you good bye,4
inform,i want a cheap restaurant in the east part of town,0
request,whats the address and phone number,3
thankyou,thank you good bye,4
inform,moderate price,0
inform,east,0
inform,i dont care,0
request,may i have the address,3
thankyou,thank you good bye,4
inform,um i want a restaurant in the north side of town and i want to eat christmas food,0
reqalts,how about indian food,7
inform,north,0
inform,i dont care,0
request,whats the price range,3
request,how about the address,3
request,whats their phone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the south part of town that serves,0
inform,austrian,0
inform,austrian,0
affirm,yes,2
reqalts,is there a restaurant in the south part of town that serves indian food,7
inform,indian food,0
request,could i get their phone number,3
thankyou,thank you good bye,4
inform,cheap restaurant east of town,0
request,whats the address,3
request,whats the phone number,3
request,what type of food,3
thankyou,thank you good bye,4
inform,id like a restaurant in,0
inform,in the center,0
inform,cross over food,0
reqalts,how about portuguese,7
reqalts,anything else,7
request,what is the price range,3
request,do you have the address,3
request,and the phone number,3
thankyou,thank you good bye,4
inform,im looking for unintelligible food,0
inform,in the east part of town,0
null,unintelligible,5
null,unintelligible,5
reqalts,how about indian,7
request,can i have the address and phone number,3
thankyou,thank you good bye,4
inform,im looking for a cheap restaurant,0
inform,it doesnt matter,0
inform,australian food,0
reqalts,what about european food,7
inform,what european food,0
confirm,is it european,1
confirm,does it serve european type food,1
request,whats the address,3
request,whats the address,3
request,and whats the phone number,3
thankyou,thank you good bye,4
null,unintelligible,5
inform,moderately priced restaurants,0
inform,dont care,0
request,what type of food do they serve,3
request,what is the address,3
thankyou,thank you good bye,4
inform,cheap restaurant north part of town,0
inform,any,0
request,address phone number,3
reqalts,is there anything else,7
request,address and phone number,3
request,type of food,3
thankyou,thank you good bye,4
inform,moderately priced restaurant japanese food,0
inform,chinese food,0
inform,breath i dont care,0
request,what is the phone number,3
thankyou,thank you goodbye,4
inform,moderately,0
inform,west,0
inform,west,0
inform,west part of town,0
inform,doesnt matter,0
null,what is the,5
request,what is the address,3
request,what is the phone number,3
thankyou,thank you good bye,4
inform,im looking for a moderately priced restaurant in the south part of town,0
inform,i dont care,0
request,what is the address,3
thankyou,thank you good bye,4
inform,im looking for a moderately priced restaurant,0
inform,in the south part of the town,0
inform,i dont care,0
reqalts,is there anything else,7
reqalts,is there anything else,7
request,uh can i have the address,3
request,and phone number,3
request,and whats the address,3
thankyou,thank you good bye,4
inform,expensive,0
inform,south,0
inform,doesnt matter,0
affirm,yes i want the phone number,2
request,phone number,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the west part of town that serves,0
inform,international,0
reqalts,how about the center area,7
request,can you give me the phone number,3
request,and whats the price range,3
thankyou,thank you good bye,4
null,unintelligible,5
inform,im looking for a restaurant in the west part of town and it sh,0
inform,thai food,0
request,uh whats the address,3
request,and the phone number,3
request,and the post code,3
thankyou,thank you,4
bye,good bye,6
inform,im looking for an expensive restaurant in the east,0
inform,it doesnt matter,0
affirm,yes,2
reqalts,anything else,7
request,address,3
request,phone number,3
thankyou,thank you goodbye,4
inform,want to find a restaurant in the west part of town that serves german food,0
inform,german food,0
reqalts,how about british food,7
thankyou,thank you good bye,4
inform,id like a restaurant in the south part of town that serves cuban,0
inform,cuban,0
reqalts,how about portuguese,7
request,could i have the phone number,3
request,what about the address,3
thankyou,thank you good bye,4
inform,id like a cheap restaurant that serves steakhouse,0
inform,it doesnt matter,0
inform,steakhouse,0
affirm,yes,2
confirm,does it serve steakhouse food,1
inform,i would like steakhouse food,0
reqalts,how about vietnamese food,7
inform,i would like vietnamese food,0
request,what is the phone number,3
thankyou,thank you good bye,4
inform,im looking for a cheap,0
inform,um in north,0
inform,north part of town,0
request,may i have the address phone number and post code,3
request,may i have the post code please,3
thankyou,thank you good bye,4
inform,i want to find a moderately,0
inform,i dont care,0
request,what is the address,3
request,what is the address,3
thankyou,thank you good bye,4
inform,moderate restaurant catalan food,0
inform,spanish food,0
request,address,3
request,phone number,3
request,post code,3
thankyou,thank you good bye,4
inform,im looking for a restaurant in the west part of town that serves italian food,0
inform,west,0
negate,no,8
inform,i dont care,0
request,may i have the phone number and address,3
thankyou,thank you good bye,4
inform,im looking for gastropub food,0
inform,any area,0
inform,gastropub,0
inform,any,0
request,what are the address and post code,3
request,post code,3
thankyou,thank you good bye,4
inform,im looking for a cheap spanish restaurant,0
null,the adra,5
request,whats the phone number,3
request,the postcode,3
thankyou,thank you goodbye,4
inform,okay looking for a cheap restaurant serving caribbean food,0
confirm,does it serve caribbean food,1
reqalts,how about caribbean food,7
reqalts,what about indian food,7
request,what is the address,3
thankyou,thank you good bye,4
inform,im looking for mediterranean food,0
inform,i dont care,0
inform,i dont care,0
request,what is the phone number,3
thankyou,thank you good bye,4
inform,can i have an expensive restaurant,0
inform,the south,0
inform,it doesnt matter,0
reqalts,is there anything else,7
request,can i have the address,3
thankyou,thank you good bye,4
inform,east part of town,0
inform,dont care,0
inform,expensive,0
request,phone number,3
thankyou,thank you good bye,4
inform,south part of town,0
inform,any,0
inform,moderate,0
reqalts,anything else,7
request,address,3
thankyou,thank you good bye,4
inform,im looking for a moderately priced restaurant in the north part of town,0
inform,i dont care,0
request,whats their phone number,3
request,and their address,3
thankyou,thank you goodbye,4
inform,im looking for scandinavian food,0
inform,any part of town,0
affirm,yes,2
inform,cheap,0
inform,scandanavian,0
thankyou,im done thank you,4
null,okay,5
bye,okay good bye,6
inform,can i have the venusian food,0
inform,italian food in the south part of town,0
inform,italian food in the south part of town,0
inform,dont care,0
request,phone number,3
request,the phone number,3
request,the post code,3
thankyou,thank you,4
inform,im looking for a restaurant in the west part of town that serves caribbean,0
reqalts,how about indian food,7
reqalts,what about indian food,7
request,whats the phone number,3
thankyou,thank you good bye,4
inform,cheap restaurant,0
inform,east,0
request,phone number,3
null,ad,5
request,address,3
thankyou,thank you good bye,4
inform,expensive expensive,0
inform,south,0
inform,any,0
affirm,yes,2
reqalts,is there anything else,7
request,whats the address,3
request,what is their address,3
thankyou,thank you good bye,4
null,unintelligible,5
inform,cheap restaurant in the west part of town,0
inform,any type of food,0
request,whats the phone number,3
thankyou,thank you goodbye,4
inform,i would like to find a restaurant,0
inform,west,0
inform,indian,0
reqalts,is there anything else,7
request,and the phone number,3
request,and the address,3
thankyou,thank you good bye,4
inform,cheap restaurant in he north part of town,0
inform,any,0
request,address,3
request,phone number,3
request,what type of venue,3
thankyou,thank you good bye,4
null,unintelligible,5
null,unintelligible,5
inform,doesnt matter,0
inform,does not matter,0
null,unintelligible,5
null,unintelligible,5
null,unintelligible,5
null,unintelligible,5
inform,i dont care,0
inform,brazilian,0
inform,gastro pub,0
reqalts,how about moderately priced,7
thankyou,thank you good bye,4
inform,looking for a moderately priced restaurant,0
inform,serves british food,0
inform,would like british food,0
inform,north,0
inform,the south,0
null,cough,5
null,cough,5
inform,british,0
affirm,yes,2
request,where is it,3
request,what is the address,3
request,what is the phone number,3
thankyou,thank you good bye,4
inform,im looking for an expensive restaurant that serves english food,0
inform,what about mediterranean food,0
inform,what about mediterranean food,0
request,whats the address and phone number,3
thankyou,thank you good bye,4
